Price,Close,High,Low,Open,Volume
Ticker,^DJI,^DJI,^DJI,^DJI,^DJI
Datetime,,,,,
2025-03-18 13:30:00+00:00,41669.5390625,41787.25,41584.421875,41772.91015625,0
2025-03-18 14:30:00+00:00,41506.01171875,41703.8515625,41489.94921875,41668.48046875,62552805
2025-03-18 15:30:00+00:00,41563.9609375,41563.9609375,41455.2890625,41509.640625,49027739
2025-03-18 16:30:00+00:00,41518.05078125,41575.91015625,41415.4296875,41567.671875,59793105
2025-03-18 17:30:00+00:00,41556.8515625,41624.98828125,41508.41015625,41518.328125,58844934
2025-03-18 18:30:00+00:00,41615.69140625,41647.3515625,41549.421875,41556.83984375,58918042
2025-03-18 19:30:00+00:00,41585.1015625,41627.171875,41537.1796875,41615.53125,58388086
2025-03-19 13:30:00+00:00,41820.44140625,41840.37890625,41613.19140625,41613.19140625,0
2025-03-19 14:30:00+00:00,41822.94921875,41848.80078125,41765.19921875,41820.1484375,50239185
2025-03-19 15:30:00+00:00,41876.890625,41943.6484375,41809.44140625,41822.91015625,47296870
2025-03-19 16:30:00+00:00,41716.4609375,41876.48828125,41708.98828125,41875.4609375,39246026
2025-03-19 17:30:00+00:00,41773.2109375,41836.078125,41647.8984375,41716.23046875,58627453
2025-03-19 18:30:00+00:00,41984.421875,42178.41015625,41773.12109375,41773.12109375,81745486
2025-03-19 19:30:00+00:00,41962.80859375,42102.62890625,41941.44140625,41985.6015625,65463952
2025-03-20 13:30:00+00:00,42169.62890625,42200.0390625,41695.609375,41795.26171875,0
2025-03-20 14:30:00+00:00,42160.71875,42250.2890625,42137.98046875,42169.3984375,58777038
2025-03-20 15:30:00+00:00,42025.01171875,42200.12109375,42016.80859375,42136.12109375,64406230
2025-03-20 16:30:00+00:00,41891.12109375,42066.26171875,41891.12109375,42026.8203125,55365918
2025-03-20 17:30:00+00:00,41869.4296875,42000.8203125,41869.4296875,41891.328125,41943918
2025-03-20 18:30:00+00:00,41892.30078125,42008.1015625,41840.73828125,41869.8515625,49677152
2025-03-20 19:30:00+00:00,41947.8203125,42012.578125,41892.26953125,41892.26953125,59125659
2025-03-21 13:30:00+00:00,41574.73046875,41763.3984375,41433.859375,41763.3984375,0
2025-03-21 14:30:00+00:00,41690.7890625,41775.08984375,41547.05859375,41574.16015625,70274603
2025-03-21 15:30:00+00:00,41879.578125,41900.94921875,41617.01171875,41689.87890625,61957480
2025-03-21 16:30:00+00:00,41875.73828125,41962.7109375,41839.4296875,41880.51171875,53056867
2025-03-21 17:30:00+00:00,41854.01953125,42011.3984375,41838.26171875,41875.69140625,40217624
2025-03-21 18:30:00+00:00,41848.69921875,41929.44921875,41825.390625,41852.98828125,53157999
2025-03-21 19:30:00+00:00,41986.51953125,42009.33984375,41828.94921875,41848.48046875,92119871
2025-03-24 13:30:00+00:00,42507.109375,42536.55078125,42180.140625,42180.140625,0
2025-03-24 14:30:00+00:00,42545.109375,42554.8984375,42471.3203125,42508.25,65722921
2025-03-24 15:30:00+00:00,42502.33984375,42582.91015625,42492.30859375,42545.41015625,48250264
2025-03-24 16:30:00+00:00,42453.08984375,42516.05859375,42401.1484375,42501.6796875,37923483
2025-03-24 17:30:00+00:00,42387.828125,42475.5703125,42378.80859375,42452.890625,35431161
2025-03-24 18:30:00+00:00,42554.5703125,42572.9609375,42374.6796875,42388.80859375,45199198
2025-03-24 19:30:00+00:00,42568.2890625,42638.8515625,42547.26171875,42555.08984375,58440463
2025-03-25 13:30:00+00:00,42622.76171875,42696.609375,42501.51953125,42635.5390625,0
2025-03-25 14:30:00+00:00,42662.73828125,42686.66015625,42620.8203125,42622.98046875,55988615
2025-03-25 15:30:00+00:00,42543.921875,42663.75,42531.46875,42662.6796875,42647325
2025-03-25 16:30:00+00:00,42542.3515625,42607.55078125,42514.94921875,42543.6484375,36669429
2025-03-25 17:30:00+00:00,42517.83984375,42571.5703125,42473.109375,42541.23828125,32780987
2025-03-25 18:30:00+00:00,42499.87109375,42534.78125,42472.73046875,42517.55859375,37955908
2025-03-25 19:30:00+00:00,42592.171875,42617.8984375,42441.828125,42499.21875,48810640
2025-03-26 13:30:00+00:00,42731.03125,42821.828125,42655.8515625,42655.8515625,0
2025-03-26 14:30:00+00:00,42608.2109375,42796.9609375,42606.76953125,42731.30078125,62030484
2025-03-26 15:30:00+00:00,42574.3984375,42666.671875,42497.6015625,42608.7109375,60409877
2025-03-26 16:30:00+00:00,42422.66015625,42598.83984375,42410.859375,42574.26953125,53205675
2025-03-26 17:30:00+00:00,42472.2109375,42488.890625,42370.28125,42421.51953125,52544922
2025-03-26 18:30:00+00:00,42368.55078125,42483.0390625,42326.671875,42472.05859375,55678127
2025-03-26 19:30:00+00:00,42451.7890625,42495.76171875,42360.8984375,42368.1796875,63013749
2025-03-27 13:30:00+00:00,42477.91015625,42497.109375,42142.19140625,42432.9609375,0
2025-03-27 14:30:00+00:00,42410.44140625,42523.83984375,42408.421875,42478.3515625,62929318
2025-03-27 15:30:00+00:00,42377.71875,42421.05859375,42301.48046875,42410.5,52349486
2025-03-27 16:30:00+00:00,42262.16015625,42413.0390625,42215.171875,42376.9296875,38669028
2025-03-27 17:30:00+00:00,42326.421875,42379.890625,42211.3515625,42261.890625,41481349
2025-03-27 18:30:00+00:00,42455.01953125,42461.44140625,42285.23828125,42326.48046875,39185747
2025-03-27 19:30:00+00:00,42291.96875,42456.171875,42281.8984375,42454.91015625,51061105
2025-03-28 13:30:00+00:00,41842.140625,42258.1484375,41832.33984375,42245.8203125,0
